Unknown,US,EMEA,ASIA,CANADA,LATAM
CAWSR,CAYUB,GBEBH,THSAT,,
CAWTD,CAYUC,GBEDR,THSAU,,
CAWTN,COALA,GBEMR,THTSU,,
CAWVR,COARO,GBENN,TMAHG,,
CAYRE,COAUO,GBEXE,TWAOU,,
CAYUB,COBOU,GBEXR,TWCHC,,
CAYUC,COBUR,GBFEL,TWGUO,,
CHARL,COCAN,GBGAW,TWHAI,,
CHBAH,COCMR,GBGFR,TWHAN,,
CHGRN,COCOL,GBGGR,TWHHR,,
CHMEY,CODEN,GBGLS,TWKAO,,
CHMUN,CODIA,GBGLU,TWLUJ,,
CHRUE,CODIL,GBGSG,TWTAI,,
CHWLB,CODNG,GBGTE,TWTAN,,
CLSAT,COEFA,GBHEL,TWTAU,,
CLSCL,COEGL,GBIVE,TWTCT,,
CLSTI,COFCL,GBLBZ,TWTEI,,
CN10H,COGJC,GBLEI,TWTNN,,
CN1NA,COGJU,GBLEY,TWTYA,,
CN27J,COGLE,GBLGB,TWYAU,,
CN530,COGNN,GBLIN,TWZHU,,
CNAGH,COGRA,GBLND,TWZIL,,
CNAME,COGRE,GBLNN,VNBND,,
CNBAO,COGYP,GBLTN,VNHCH,,
CNBEJ,COLAJ,GBMCH,VNHNI,,
CNBEN,COLMR,GBMNS,VNHNO,,
CNCGZ,COLON,GBNHA,VNHOC,,
CNCHG,COLOV,GBNOT,VNPVD,,
CNCHN,COMTR,GBNRM,VNTLS,,
CNCLH,COORA,GBNRW,YESAN,,
CNCOI,COPUE,GBNTA,,,
CNCSH,CORIF,GBNTG,,,
CNDAH,COSAL,GBNTW,,,
CNDAI,COSPI,GBNUE,,,
CNDNY,COSRG,GBOMA,,,
CNDOG,COSTM,GBREA,,,
CNDUA,COSTR,GBROD,,,
CNFDA1,COTRI,GBSED,,,
CNFOH,CTBIA,GBSHE,,,
CNFRR,CTDAN,GBSHF,,,
CNFZH,CTEFL,GBSHM,,,
CNGBO,CTHAF,GBSLH,,,
CNGDU,CTHAR,GBSLU,,,
CNGGH,CTNCH,GBSTA,,,
CNGGN,CTNIA,GBSTN,,,
CNGGZ,CTNLK,GBSTO,,,
CNGUU,CTNOR,GBSWA,,,
CNGZC,CTORA,GBTAM,,,
CNHEF,CTSHL,GBWAT,,,
CNHHA,CTSHN,GBWKF,,,
CNHNU,CTSTR,GBWOK,,,
CNHON,CTWAL,GGSTS,,,
CNHZH,CTWAT,GHACC,,,
CNHZN,CTWDR,GRATE,,,
CNHZU,CTWHA,GRKOP,,,
CNING,CTWIR,GRTHI,,,
CNJAN,CTWLO,HRVEL,,,
CNJAX,CTWSR,HRZGB,,,
CNJNY,DCNJA,HUBDP,,,
CNJUL,DCWSH,HUBRS,,,
CNKHA,DELAK,HUTHU,,,
CNLIU,DEMIL,HUVSS,,,
CNMEN,DENCE,IEATH,,,
CNNGA,DENCT,IEBAL,,,
CNNJ1,DENEW,IECOK,,,
CNNNT,DENWT,IECRK,,,
CNPSP,FLBAY,IEDBN,,,
CNQDA,FLBRA,IEDUI,,,
CNQGD,FLBRO,IEDUN,,,
CNQGO,FLCCC,IEFIN,,,
CNQHU,FLCHI,IEFNG,,,
CNQID,FLCLE,IEGAL,,,
CNQND,FLCOC,IELMR,,,
CNQUZ,FLDAY,IENRB,,,
CNSAA,FLDEE,IESHN,,,
CNSEE,FLDFB,IESLI,,,
CNSGI,FLDVP,IESNA,,,
CNSH6,FLEAD,IESWD,,,
CNSH7,FLELA,IESWO,,,
CNSNX,FLELT,IETRA,,,
CNSPR,FLFGL,IEWAR,,,
CNST8,FLFMB,ILBSH,,,
CNSUH,FLFMS,ILHAI,,,
CNSZ1,FLFOM,ILLOD,,,
CNTAJ,FLFRL,ILMOD,,,
CNTIN,FLFRO,ISKEL,,,
CNWAN,FLFTL,ITAOI,,,
CNWUI,FLFTM,ITARZ,,,
CNWUN,FLFTP,ITBER,,,
CNWXI,FLFTW,ITBLG,,,
CNWZH,FLGAI,ITBLQ,,,
CNXAN,FLHIA,ITBRC,,,
CNYIN,FLHLH,ITBRG,,,
CNYYR1,FLHOL,ITBRS,,,
CNZHH,FLIMI,ITCPI,,,
CNZHS,FLISL,ITCTL,,,
COALA,FLJAC,ITCVM,,,
COARO,FLJAI,ITFRM,,,
COAUO,FLJAK,ITGAL,,,
COBGT,FLJSV,ITGRA,,,
COBOU,FLKEY,ITLAE,,,
COBTA,FLLAK,ITLIS,,,
COBUR,FLLAN,ITLUR,,,
COCAL,FLLDL,ITLVR,,,
COCAN,FLLDO,ITMIL,,,
COCMR,FLLEE,ITMIO,,,
COCOL,FLLKW,ITMLA,,,
CODEN,FLLMY,ITMPA,,,
CODIA,FLLON,ITNVR,,,
CODIL,FLLWA,ITOME,,,
CODNG,FLMEL,ITPAR,,,
COEGL,FLMIA,ITPIA,,,
COFNZ,FLMIS,ITPLE,,,
COFZA,FLMMA,ITPRT,,,
COGJC,FLMMI,ITROA,,,
COGLE,FLMNW,ITROM,,,
COGNN,FLN17,ITSFI,,,
COGRA,FLNAP,ITTES,,,
COGRE,FLOAD,ITTOR,,,
COGYP,FLOAN,ITVCN,,,
COLAJ,FLOAO,ITVER,,,
COLMR,FLOCA,ITVIM,,,
COLON,FLOCL,ITVZA,,,
COLOV,FLOCO,JEHEL,,,
COMDN,FLONR,JOAMN,,,
COMED,FLOR1,KRSNG,,,
COMTR,FLORL,LBBEI,,,
COORA,FLORO,LTBRU,,,
COOTA,FLPAN,LTTLT,,,
COPUE,FLPCA,LTVIL,,,
CORIF,FLPEN,LULUM,,,
COSAL,FLPIN,LVRIX,,,
COSRG,FLPNA,LYTRP,,,
COSTM,FLPOC,MAANC,,,
COSTR,FLPOR,MACBL,,,
COTRI,FLPPO,MAMOH,,,
CRAJE,FLPSL,MDCHS,,,
CRALA,FLRIV,MEPOD,,,
CRHER,FLRSW,MTLQA,,,
CRSAN,FLRVB,NGABU,,,
CRSJO,FLSAR,NGBEN,,,
CTBIA,FLSTA,NGENU,,,
CTDAN,FLSTU,NGIBA,,,
CTHAR,FLTAB,NGIKE,,,
CTNCH,FLTAI,NGJOS,,,
CTNIA,FLTAL,NGKAD,,,
CTNLK,FLTAM,NGKAN,,,
CTNOR,FLTAP,NGLAS,,,
CTORA,FLTCI,NGMMI,,,
CTSTR,FLTSE,NGOWE,,,
CTWAL,FLVLE,NGPHC,,,
CTWAT,FLVRO,NLAMS,,,
CTWIR,FLW36,NLAPO,,,
CTWLO,FLWPB,NLEDN,,,
CTWSR,FLWRD,NLEND,,,
CZBNO,GAAIR,NLHAG,,,
CZGUE,GAALB,NLHEE,,,
CZOSV,GAART,NLHFP,,,
CZPGE,GAATH,NLHOO,,,
CZPNS,GAATL,NLHRK,,,
CZPRG,GAATT,NLRMD,,,
DCNJA,GAAUG,NLROM,,,
DCWSH,GABCF,NLROR,,,
DEACC,GABFO,NLRTE,,,
DEALL,GABNY,NLRTT,,,
DEBAM,GABRU,NLSHP,,,
DEBAT,GABUT,NLTBU,,,
DEBEN,GACAI,NLTNL,,,
DEBIN,GACAR,NLUHT,,,
DEBLD,GACOL,NLVEN,,,
DEBLN,GACRL,NLVEO,,,
DEBLS,GADAL,NLVNL,,,
DEBON,GADTH,NOGAR,,,
DEBRA,GADUH,NOOLO,,,
DEBRE,GAFAY,OMCAT,,,
DEBUT,GAFOR,PKKAI,,,
DECGE,GAFPA,PKKRC,,,
DECOL,GAFRP,PKKRH,,,
DECRA,GAGEO,PKLAE,,,
DEDAH,GAGPR,PKLHR,,,
DEDIT,GAGRI,PKRWP,,,
DEDUS,GAHAL,PKSLK,,,
DEESF,GAJEF,PLAKO,,,
DEESH,GAKNN,PLBBL,,,
DEEWE,GALAG,PLBLI,,,
DEFEC,GALTA,PLBLP,,,
DEFKR,GALWR,PLBLY,,,
DEFRE,GAMAC,PLBYG,,,
DEFRI,GAMAT,PLCZT,,,
DEGAR,GAMAV,PLGDA,,,
DEGER,GAMRW,PLGRW,,,
DEGIE,GAPLE,PLKLS,,,
DEGIM,GAPOO,PLKOZ,,,
DEGRB,GARIN,PLLDZ,,,
DEGRO,GAROM,PLLEC,,,
DEHBG,GAROS,PLMAT,,,
DEHED,GARSW,PLMIR,,,
DEHER,GASAV,PLMYS,,,
DEHME,GASAW,PLOPO,,,
DEHMN,GASCR,PLOZN,,,
DEICT,GASNA,PLPAN,,,
DEISE,GASNH,PLPCK,,,
DEKAI,GASTA,PLPIA,,,
DEKAR,GASWA,PLPON,,,
DEKAS,GATFT,PLPYR,,,
DEKEM,GATHM,PLRDO,,,
DEKIE,GATIF,PLRZK,,,
DEKIR,GATLA,PLRZZ,,,
DEKLI,GATLN,PLSAD,,,
DEKLS,GAUNA,PLSBZ,,,
DEKOL,GAVAL,PLSCC,,,
DEKON,GAVDO,PLSIT,,,
DEKRE,GAWAR,PLSKR,,,
DEKRI,GAWAY,PLSTR,,,
DELAG,GAWOO,PLSZ1,,,
DELAH,HIHLU,PLTRN,,,
DELAK,HIHUU,PLUMI,,,
DELAN,HIITO,PLWAA,,,
DELOB,HIKAH,PLWAR,,,
DEMCH,HIKHU,PLWAW,,,
DEMDG,HIKON,PLWCW,,,
DEMIL,HILIH,PLWKO,,,
DEMOM,HILUU,PLWRA,,,
DEMRG,IAAME,PLZAM,,,
DEMUC,IABUR,PLZOG,,,
DENCE,IACOR,PT125,,,
DENEU,IACR,PTLBA,,,
DENEW,IACRA,PTLDP,,,
DENHS,IACRD,PTLIS,,,
DENOT,IACRE,PTMAI,,,
DENRM,IACRR,ROCIA,,,
DENUR,IADAE,ROGRD,,,
DEOBL,IADAN,ROOPN,,,
DEOBT,IADAP,RSBEL,,,
DEOSC,IADAV,RUARY,,,
DEOTZ,IADEC,RUAZO,,,
DEPAD,IADES,RUBUM,,,
DEREI,IADME,RUKLN,,,
DEREN,IADSM,RUKRS,,,
DEROS,IADSN,RULED,,,
DESAA,IADSO,RUMOC,,,
DESCA,IADUB,RUMOW,,,
DESCH,IAFTD,RUNNO,,,
DESCK,IAGUT,RUNOO,,,
DETRO,IAHIA,RUNOV,,,
DEUEL,IAMAR,RURST,,,
DEULM,IAMAS,RUSMO,,,
DEUMK,IAOSK,RUSPE,,,
DEWAL,IAOTT,RUSTB,,,
DEWEN,IAREO,RUVKO,,,
DEWES,IASIO,RUVLD,,,
DEWIT,IASPE,SEARL,,,
DEWLL,IAWAT,SEBOL,,,
DEWOL,IAWTE,SEJAR,,,
DEWSL,IDBIS,SEJNK,,,
DEWUP,IDBOI,SEMOL,,,
DKAAB,IDBOS,SEMST,,,
DKAAU,IDCOE,SESKA,,,
DKCOP,IDGRN,SESTC,,,
DKCPN,IDHAI,SEVST,,,
DKVEJ,IDHEY,SILJU,,,
DOSAO,IDIFA,SKBLV,,,
DOSDG,IDLEW,SKBTV,,,
DOSDM,IDMCL,TGLOM,,,
DOSDN,IDMOU,TNRAD,,,
ECGYE,IDMRI,TNTTN,,,
ECNAQ,IDNAM,TRAFN,,,
ECQUO,IDPAY,TRANL,,,
ECUTO,IDPOA,TRANR,,,
EETNN,IDPOS,TRARD,,,
ESBCN,IDREX,TRART,,,
ESBIL,IDSND,TRBAL,,,
ESBRS,IDSOD,TRBUS,,,
ESMAI,IDSWY,TRCAN,,,
ESMAL,IDTWI,TRDAN,,,
ESMAN,ILADB,TRDEZ,,,
ESMAR,ILADD,TRDIB,,,
ESMCO,ILALT,TRDNA,,,
ESMDH,ILAS7,TRERM,,,
ESSEV,ILBDL,TRESH,,,
